question,answer,questions_ar,answers_ar
Is a high variance in data good or bad?,"Higher variance directly means that the data spread is big and the feature has a variety of data. Usually, high variance in a feature is seen as not so good quality.",هل هناك فرق كبير في البيانات جيد أم سيء؟,ويعني الفرق الأعلى مباشرة أن انتشار البيانات كبير وأن السمة تحتوي على مجموعة متنوعة من البيانات. وعادة ما ينظر إلى التباين العالي في إحدى السمات على أنه ليس جيد النوعية.
"If your dataset is suffering from high variance, how would you handle it?","For datasets with high variance, we could use the bagging algorithm to handle it. Bagging algorithm splits the data into subgroups with sampling replicated from random data. After the data is split, random data is used to create rules using a training algorithm. Then we use polling technique to combine all the predicted outcomes of the model.",إذا كانت بياناتك تعاني من تفاوت كبير، فكيف تتعامل معها؟,لـ البيانات مع أعلى فرق، يمكننا استخدام خوارزمية التغليف لمعالجتها. التدرج خوارزمية تقسم البيانات إلى مجموعات فرعية مع أخذ العينات من البيانات العشوائية. بعد تقسيم البيانات، تستخدم البيانات العشوائية لإنشاء قواعد باستخدام خوارزمية تدريب. ثم نستخدم تقنية الإقتراع للجمع بين كل النتائج المتوقعة للنموذج.
"A data set is given to you about utilities fraud detection. You have built aclassifier model and achieved a performance score of 98.5. Is this a goodmodel? If yes, justify. If not, what can you do about it?","Data set about utilities fraud detection is not balanced enough i.e. imbalanced. In such a data set, accuracy score cannot be the measure of performance as it may only be predict the majority class label correctly but in this case our point of interest is to predict the minority label. But often minorities are treated as noise and ignored. So, there is a high probability of misclassification of the minority label as compared to the majority label. For evaluating the model performance in case of imbalanced data sets, we should use Sensitivity (True Positive rate) or Specificity (True Negative rate) to determine class label wise performance of the classification model. If the minority class labels performance is not so good, we could do the following",مجموعة بيانات تُعطى لكم عن الكشف عن الاحتيال في المرافق العامة. قمتم ببناء نموذج تصنيفي وحققتم درجة أداء 98.5. هل هذا نموذج جيد؟ إذا كان الجواب نعم ، فابرروا. إذا لم يكن الأمر كذلك ، ماذا يمكنكم أن تفعلوا حيال ذلك؟,مجموعة البيانات المتعلقة بكشف الاحتيال في المرافق العامة ليست متوازنة بما يكفي، أي أنها غير متوازنة. في مجموعة البيانات هذه، لا يمكن أن تكون درجة الدقة مقياس الأداء لأنها قد تكون فقط التنبؤ بعلامة فئة الأغلبية بشكل صحيح، ولكن في هذه الحالة نقطة اهتمامنا هي التنبؤ بعلامة الأقلية. ولكن غالبا ما تعامل الأقليات كضوضاء ويتم تجاهلها. إذا كان هناك احتمال كبير لإساءة تصنيف بطاقة الأقلية مقارنة بعلامة الأغلبية. لتقييم أداء النموذج في حالة مجموعات البيانات غير المتوازنة، يجب أن نستخدم الحساسية (معدل True موجب) أو النوعية (معدل true سلبي) لتحديد أداء فئة وسم الإدارة الحكيمة لنموذج التصنيف. إذا لم يكن أداء بطاقات فئة الأقلية جيدا جدا، يمكننا القيام بما يلي:
Explain the handling of missing or corrupted values in the given dataset.?,An easy way to handle missing values or corrupted values is to drop the corresponding rows or columns. If there are too many rows or columns to drop then we consider replacing the missing or corrupted values with some new value.,اشرح كيفية التعامل مع القيم المفقودة أو الفاسدة في مجموعة البيانات المعطاة؟,طريقة سهلة للتعامل مع القيم المفقودة أو القيم الفاسدة هي إسقاط الصفوف أو الأعمدة المقابلة. إذا كان هناك الكثير جداً من الصفوف أو الأعمدة لإسقاطها، فإننا ننظر في استبدال القيم المفقودة أو المفسدة ببعض القيمة الجديدة.
What is Time series?,"A Time series is a sequence of numerical data points in successive order. It tracks the movement of the chosen data points, over a specified period of time and records the data points at regular intervals. Time series doesnt require any minimum or maximum time input. Analysts often use Time series to examine data according to their specific requirement.",ما هي سلسلة الزمن؟,السلسلة الزمنية عبارة عن تسلسل لنقاط البيانات العددية بالترتيب المتتالي، وهي تتبع حركة نقاط البيانات المختارة، على مدى فترة زمنية محددة، وتسجل نقاط البيانات على فترات منتظمة. السلسلة الزمنية لا تتطلب أي مدخل حد أدنى أو أقصى من الوقت. غالبا ما يستخدم المحللون سلاسل الوقت لفحص البيانات وفقا لاحتياجاتهم المحددة.
What is a BoxCox transformation?,BoxCox transformation is a power transform which transforms nonnormal dependent variables into normal variables as normality is the most common assumption made while using many statistical techniques. It has a lambda parameter which when set to 0 implies that this transform is equivalent to logtransform. It is used for variance stabilization and also to normalize the distribution.,ما هو تحويل صندوق الكوكس؟,تحويل BoxCox هو تحويل طاقة يقوم بتحويل متغيرات تبعية غير طبيعية إلى متغيرات طبيعية حيث أن الطبيعية هي أكثر الافتراضات شيوعاً التي يتم القيام بها في الوقت الذي تستخدم فيه العديد من التقنيات الإحصائية. لديه معامِل لامدا الذي عندما يُعَد إلى 0 يعني أن هذا التحويل هو معادل للتحوُّل اللوغاريتمي. يستخدم لتثبيت التفريق وأيضاً لتطبيع التوزيع.
What is the exploding gradient problem while using the back propagation technique?,"When large error gradients accumulate and result in large changes in the neural network weights during training, it is called the exploding gradient problem. The values of weights can become so large as to overflow and result in NaN values. This makes the model unstable and the learning of the model to stall just like the vanishing gradient problem. This is one of the most commonly asked interview questions on machine learning.",ما هي مشكلة الإنفجار أثناء استخدام تقنية الانتشار الخلفي؟,عندما يتراكم الخطأ الكبير ويؤدي إلى تغيرات كبيرة في أوزان الشبكة العصبية أثناء التدريب، فإنه يسمى مشكلة التدرج الانفجارية. قيم الأوزان يمكن أن تصبح كبيرة جدا بحيث يمكن أن تتدفق وتنتج في قيم NAN. هذا يجعل النموذج غير مستقر وتعلّم النموذج أن يماطل تماما مثل مشكلة التدرج التلاشي. هذا واحد من أكثر أسئلة المقابلات شيوعا حول التعلم الآلي.
Explain the differences between Random Forest and Gradient Boosting machines.?,Confusion matrix (also called the error matrix) is a table that is frequently used to illustrate the performance of a classification model i.e. classifier on a set of test data for which the true values are wellknown.,اشرح الفروق بين الغابات العشوائية والآلات المحفزة للتضاريس؟,مصفوفة التطابق (يطلق عليها أيضاً مصفوفة الخطأ) هي جدول يستخدم كثيراً لتوضيح أداء نموذج تصنيف أي مصنف على مجموعة من بيانات الاختبار التي تكون القيم الحقيقية لها معروفة جيداً.
What is a confusion matrix and why do you need it?,Confusion matrix (also called the error matrix) is a table that is frequently used to illustrate the performance of a classification model i.e. classifier on a set of test data for which the true values are wellknown.,ما هي مصفوفة الارتباك ولماذا تحتاج إليها؟,مصفوفة التطابق (يطلق عليها أيضاً مصفوفة الخطأ) هي جدول يستخدم كثيراً لتوضيح أداء نموذج تصنيف أي مصنف على مجموعة من بيانات الاختبار التي تكون القيم الحقيقية لها معروفة جيداً.
Whats a Fourier transform?,"Fourier Transform is a mathematical technique that transforms any function of time to a function of frequency. Fourier transform is closely related to Fourier series. It takes any timebased pattern for input and calculates the overall cycle offset, rotation speed and strength for all possible cycles. Fourier transform is best applied to waveforms since it has functions of time and space. Once a Fourier transform applied on a waveform, it gets decomposed into a sinusoid.",ما هو تحويل فورير؟,تحويل فورير هي تقنية رياضية تحول أي دالة وقت إلى دالة تردد. تحويل فورير يرتبط ارتباطا وثيقا بسلسلة فورير. يأخذ أي نمط زمني للمدخلات ويحسب مجمل الدورة وسرعة الدوران والقوة لجميع الدورات الممكنة. تحويل فورير هو أفضل تطبيق على أشكال الموجات حيث أن له وظائف الوقت والمكان. بمجرد تحويل فورير على شكل موجة، فإنه يصبح متحللا إلى جيب.
What do you mean by Associative Rule Mining (ARM)?,Associative Rule Mining is one of the techniques to discover patterns in data like features (dimensions) which occur together and features (dimensions) which are correlated. It is mostly used in Marketbased Analysis to find how frequently an itemset occurs in a transaction. Association rules have to satisfy minimum support and minimum confidence at the very same time. Association rule generation generally comprised of two different steps,ما الذي تعنيه بالقاعدة المشتركة للتعدين؟,وتعد عملية التعدين في إطار القاعدة الجماعية إحدى تقنيات اكتشاف أنماط في بيانات مثل السمات (الديانات) التي تحدث معاً والسمات (الديانات) المترابطة، وهي تستخدم في الغالب في التحليل القائم على السوق لمعرفة مدى تواتر حدوث مادة ما في معاملة ما. ويتعين أن تفي قواعد الرابطة بالحد الأدنى من الدعم والحد الأدنى من الثقة في نفس الوقت.
What is Marginalisation? Explain the process.?,Marginalisation is summing the probability of a random variable X given joint probability distribution of X with other variables. It is an application of the law of total probability.,ما هو الهمجية؟ اشرح العملية؟,التهامشي هو suming a عشوائي متغير X مع مشترك توزيع لـ X مع هو a تطبيق من قانون من الكل احتمال.
Explain the phrase Curse of Dimensionality.?,The Curse of Dimensionality refers to the situation when your data has too many features.,"اشرح عبارة ""البعدية"" ؟",لعنة البعد تشير إلى الحالة عندما تكون بياناتك تحتوي على الكثير من الميزات.
Why is rotation of components so important in Principle Component Analysis (PCA)?,"Rotation in PCA is very important as it maximizes the separation within the variance obtained by all the components because of which interpretation of components would become easier. If the components are not rotated, then we need extended components to describe variance of the components.",لماذا يكون تناوب المكونات بهذه الأهمية في تحليل العناصر الرئيسية؟,الدوران في الأنيسول الخماسي الكلور مهم جداً لأنه يزيد إلى أقصى حد من الفصل داخل الفرق الذي تحصل عليه جميع المكونات بسبب أي تفسير للمكونات سيصبح أسهل. إذا لم يتم تدوير المكونات، فإننا نحتاج إلى مكونات موسعة لوصف الفرق بين المكونات.
Explain the difference between Normalization and Standardization.?,Normalization and Standardization are the two very popular methods used for feature scaling.,اشرح الفرق بين التطبيع والتوحيد القياسي؟,ويعد التطبيع والتوحيد هما الأسلوبان الشائعان للغاية المستخدمان في تحديد السمات.
What is Linear Regression?,"Linear Function can be defined as a Mathematical function on a 2D plane as, Y Mx C, where Y is a dependent variable and X is Independent Variable, C is Intercept and M is slope and same can be expressed as Y is a Function of X or Y F(x).",ما هو الانحدار الخطي؟,الدالة الخطيّة يمكن تعريفها على أنها دالة ماثيّة على مستوى 2D كما، Y Mx C، حيث ان Y هي متغير معال و x هي متغير مستقل، C هي تقاطع و M هي ميل ويمكن التعبير عنها كما ان Y هي دالة لـ X او Y F(x).
What could be the issue when the beta value for a certain variable varies way too much in each subset when regression is run on different subsets of the given dataset?,"Variations in the beta values in every subset implies that the dataset is heterogeneous. To overcome this problem, we can use a different model for each of the datasets clustered subsets or a nonparametric model such as decision trees.",ماذا يمكن أن تكون المسألة عندما تختلف قيمة بيتا لمتغير معين كثيراً في كل جزء فرعي عندما يجري الانحدار على مجموعات فرعية مختلفة من مجموعة البيانات المعطاة؟,المعادلات في قيم بيتا في كل مجموعة فرعية تعني ضمناً أن مجموعة البيانات هي متغايرة. للتغلب على هذه المشكلة، يمكننا استخدام نموذج مختلف لكل واحدة من مجموعات البيانات التي تجمعها أو نموذج غير مكافئ مثل اشجار القرار.
What does the term Variance Inflation Factor mean?,Variation Inflation Factor (VIF) is the ratio of the models variance to the models variance with only one independent variable. VIF gives the estimate of the volume of multicollinearity in a set of many regression variables.,ماذا يعني مصطلح معامل التأرجح التضخمي؟,عامل التغير في التضخم (VIF) هو نسبة اختلاف النماذج إلى اختلاف النماذج مع متغير مستقل واحد فقط.
What is Kernel Trick in an SVM Algorithm?,"Kernel Trick is a mathematical function which when applied on data points, can find the region of classification between two different classes. Based on the choice of function, be it linear or radial, which purely depends upon the distribution of data, one can build a classifier.",ما هو كيرنيل تريك في SVM Algorithm؟,Trik هي دالة رياضية يمكن، عند تطبيقها على نقاط البيانات، أن تجد منطقة التصنيف بين فئتين مختلفتين. استناداً إلى اختيار الدالة، سواء كانت خطية أو مرادفة، والتي تعتمد حصراً على توزيع البيانات، يمكن للمرء أن يبني تصنيفاً.
How do you handle outliers in the data?,"Outlier is an observation in the data set that is far away from other observations in the data set. We can discover outliers using tools and functions like box plot, scatter plot, ZScore, IQR score etc. and then handle them based on the visualization we have got. To handle outliers, we can cap at some threshold, use transformations to reduce skewness of the data and remove outliers if they are anomalies or errors.",كيف تتعامل مع المتفوقين في البيانات؟,الميزر هو ملاحظة في مجموعة البيانات التي هي بعيدة جداً عن غيرها من الملاحظات في مجموعة البيانات. يمكننا أن نستكشف الميزات التي تستخدم أدوات و وظائف مثل مربعة، خريطة، ZScore، علامة IQR وما إلى ذلك. ومن ثم نعالجها استناداً إلى الصورة التي حصلنا عليها. لمعالجة الميزات الخارجية، يمكننا أن نرفعها عند عتبة معينة، نستخدم تحويلات للحد من انحراف البيانات وإزالة الميزات الخارجية إذا كانت شاذة أو أخطاء.
State the limitations of Fixed Basis Function.?,"Linear separability in feature space doesnt imply linear separability in input space. So, Inputs are nonlinearly transformed using vectors of basic functions with increased dimensionality. Limitations of Fixed basis functions are",هل ذكرت حدود الوظيفة الثابتة؟,لا يعني ذلك وجود تفاضل خطي في حيز الإدخال. هكذا، تكون الإدخالات غير متحولة بشكل خطي باستخدام متجهات الاقترانات الأساسية مع زيادة البعد. حدود دالات القاعدة الثابتة هي
Define and explain the concept of Inductive Bias with some examples.?,"Inductive Bias is a set of assumptions that humans use to predict outputs given inputs that the learning algorithm has not encountered yet. When we are trying to learn Y from X and the hypothesis space for Y is infinite, we need to reduce the scope by our beliefsassumptions about the hypothesis space which is also called inductive bias. Through these assumptions, we constrain our hypothesis space and also get the capability to incrementally test and improve on the data using hyperparameters. Examples",تعريف وشرح مفهوم المفاضلة الاستدراجية مع بعض الأمثلة؟,Bias الاستدلالية عبارة عن مجموعة من الافتراضات التي يستخدمها البشر للتنبؤ بالنواتج مع المدخلات التي لم تصادفها خوارزمية التعلم بعد. عندما نحاول تعلم Y من X والمساحة الافتراضية لـ Y هي اللانهائية، نحتاج إلى تقليص النطاق من خلال افتراضاتنا عن الفضاء الافتراضي الذي يسمى أيضاً بالتحيز التحفيزي. من خلال هذه الافتراضات، نقيد مساحة فرضيتنا ونحصل أيضاً على القدرة على اختبار وتحسين البيانات باستخدام البارامترات الفائقة.
Explain the term instancebased learning.?,Instance Based Learning is a set of procedures for regression and classification which produce a class label prediction based on resemblance to its nearest neighbors in the training data set. These algorithms just collects all the data and get an answer when required or queried. In simple words they are a set of procedures for solving new problems based on the solutions of already solved problems in the past which are similar to the current problem.,اشرح مصطلح التعلم القائم على المثال؟,التعلم القائم على أساس الحالة هو مجموعة من إجراءات الانحدار والتصنيف التي تنتج تنبؤاً بعلامة الفئة استناداً إلى التشابه مع أقرب جيرانها في مجموعة بيانات التدريب. هذه الخوارزميات تجمع فقط كل البيانات و تحصل على إجابة عند الطلب أو السؤال. بعبارة بسيطة هي مجموعة من الإجراءات لحل المشاكل الجديدة استناداً إلى حلول المشاكل التي تم حلها بالفعل في الماضي والتي تشبه المشكلة الحالية.
"Define precision, recall and F1 Score?",The metric used to access the performance of the classification model is Confusion Metric. Confusion Metric can be further interpreted with the following terms,تعريف الدقة، والتذكير وF1 درجة؟,والمقياس المستخدم للوصول إلى أداء نموذج التصنيف هو مقياس الالتهاب.
Plot validation score and training score with data set size on the xaxis and another plot with model complexity on the xaxis.?,"For high bias in the models, the performance of the model on the validation data set is similar to the performance on the training data set. For high variance in the models, the performance of the model on the validation set is worse than the performance on the training set.",خطّط درجة و تدرّب مع البيانات مجموعة حجم يعمل و آخر مع نموذج تعقّد يعمل ساكسيس?,وفيما يتعلق بالتحيز العالي في النماذج، يماثل أداء النموذج في مجموعة بيانات التحقق الأداء في مجموعة بيانات التدريب، وفيما يتعلق بالاختلاف الكبير في النماذج، يكون أداء النموذج في مجموعة التحقق أسوأ من الأداء في مجموعة التدريب.
What is Bayes Theorem? State at least 1 use case with respect to the machine learning context?,"Bayes Theorem describes the probability of an event, based on prior knowledge of conditions that might be related to the event. For example, if cancer is related to age, then, using Bayes theorem, a persons age can be used to more accurately assess the probability that they have cancer than can be done without the knowledge of the persons age.Chain rule for Bayesian probability can be used to predict the likelihood of the next word in the sentence.",ما هي نظرية بايز؟ الدولة على الأقل حالة استخدام واحدة فيما يتعلق بسياق التعلم الآلي؟,تصف نظرية بايز احتمال وقوع حدث، استناداً إلى معرفة مسبقة بالظروف التي قد تكون ذات صلة بالحدث. على سبيل المثال، إذا كان السرطان مرتبطاً بالعمر، فإنه يمكن، باستخدام نظرية بايز، استخدام الأشخاص الذين يبلغون السن لتقييم احتمال إصابتهم بالسرطان تقييماً أدق مما يمكن القيام به دون معرفة الأشخاص الذين بلغوا السن. يمكن استخدام قاعدة تشاين لاحتمالات باييزيا للتنبؤ باحتمال وجود الكلمة التالية في الجملة.
What is Naive Bayes? Why is it Naive?,Naive Bayes classifiers are a series of classification algorithms that are based on the Bayes theorem. This family of algorithm shares a common principle which treats every pair of features independently while being classified.,ما هو نايف بايز لماذا هو نايف؟,تصنيفات نايف باييس هي سلسلة من خوارزميات التصنيف التي تستند إلى نظرية بايز. هذه المجموعة من الخوارزمية تشترك في مبدأ مشترك الذي يعالج كل زوج من السمات بشكل مستقل بينما يتم تصنيفها.
Explain how a Naive Bayes Classifier works.?,Naive Bayes classifiers are a family of algorithms which are derived from the Bayes theorem of probability. It works on the fundamental assumption that every set of two features that is being classified is independent of each other and every feature makes an equal and independent contribution to the outcome.,اشرح كيف يعمل مصنف نايف بايز؟,تصنيفات نايف باييس هي مجموعة من الخوارزميات المشتقة من نظرية بايز للاحتمالات. وتعمل على افتراض أساسي بأن كل مجموعة من سمتين يتم تصنيفها مستقلة عن بعضها البعض وكل سمة تسهم إسهاماً متساوياً ومستقلاً في النتيجة.
What do the terms prior probability and marginal likelihood in context of Naive Bayes theorem mean?,"Prior probability is the percentage of dependent binary variables in the data set. If you are given a dataset and dependent variable is either 1 or 0 and percentage of 1 is 65 and percentage of 0 is 35. Then, the probability that any new input for that variable of being 1 would be 65.",ما الذي تعنيه المصطلحات مسبقاً الاحتمالية والاحتمالات الهامشية في سياق نظرية نايف باييس؟,الإحتمالات السابقة هي النسبة المئوية للمتغيرات الثنائية المعتمدة في مجموعة البيانات. إذا كنت قد أعطيت مجموعة بيانات ومتغير معول هو إما 1 أو 0 والنسبة المئوية لـ 1 هي 65 والنسبة المئوية لـ 0 هي 35. ثم احتمالية أن أي مدخل جديد لذلك المتغير هو 1 سيكون 65.
Explain the difference between Lasso and Ridge?,"Lasso(L1) and Ridge(L2) are the regularization techniques where we penalize the coefficients to find the optimum solution. In ridge, the penalty function is defined by the sum of the squares of the coefficients and for the Lasso, we penalize the sum of the absolute values of the coefficients. Another type of regularization method is ElasticNet, it is a hybrid penalizing function of both lasso and ridge.",اشرح الفرق بين لاسو و ريدج؟,و Lasso(L1) و Redge(L2) هي تقنيات التنظيم حيث نعاقب المعاملات للعثور على الحل الأمثل. في التدرج، تحدد دالة العقوبة بمجموع مربعات المعاملات وبالنسبة إلى لاسو، نعاقب مجموع القيم المطلقة للمعاملات. وهناك نوع آخر من طريقة التثبيت هو ElasticNet، وهي دالة عقابية هجينة لكل من لاسو والارتفاع.
Whats the difference between probability and likelihood?,"Probability is the measure of the likelihood that an event will occur that is, what is the certainty that a specific event will occur? Whereas a likelihood function is a function of parameters within the parameter space that describes the probability of obtaining the observed data.So the fundamental difference is, Probability attaches to possible results likelihood attaches to hypotheses.",ما الفرق بين الاحتمال والاحتمالات؟,الاحتمالية هي قياس احتمال وقوع حدث ما، أي ما هو اليقين بأن حدثا معينا سيحدث؟ في حين أن دالة الاحتمال هي دالة لبارامترات داخل حيز البارامترات التي تصف احتمال الحصول على البيانات المرصودة. وبالتالي فإن الفرق الأساسي هو الاحتمالية التي تعلق على احتمال تحقيق نتائج محتملة على الفرضيات.
Why would you Prune your tree?,"In the context of data science or AIML, pruning refers to the process of reducing redundant branches of a decision tree. Decision Trees are prone to overfitting, pruning the tree helps to reduce the size and minimizes the chances of overfitting. Pruning involves turning branches of a decision tree into leaf nodes and removing the leaf nodes from the original branch. It serves as a tool to perform the tradeoff.",لمَ قد تكسر شجرتك؟,في سياق علم البيانات أو AIML، يشير التقطيع إلى عملية تقليل الأفرع الزائدة من شجرة القرار. فالأشجار المقرّرة تميل إلى التهذيب المفرط، وتشذيب الشجرة تساعد على تقليل الحجم والتقليل إلى أدنى حد من فرص الإفراط في التكييف. ينطوي التصفيف على تحويل أفرع شجرة القرار إلى عُقَد ورقية وإزالة عُقَد الورقة من الفرع الأصلي. وهو بمثابة أداة لأداء المفاضلة.
Model accuracy or Model performance? Which one will you prefer and why?,"This is a trick question, one should first get a clear idea, what is Model Performance? If Performance means speed, then it depends upon the nature of the application, any application related to the realtime scenario will need high speed as an important feature. Example The best of Search Results will lose its virtue if the Query results do not appear fast.",(ب) الدقة النموذجية أو الأداء النموذجي؟ أيهما تفضله ولماذا؟,هذا سؤال مخادع، ينبغي للمرء أولاً أن يحصل على فكرة واضحة، ما هو الأداء النموذجي؟ إذا كان الأداء يعني السرعة، ثم يعتمد على طبيعة التطبيق، فإن أي تطبيق يتصل بسيناريو الوقت الحقيقي سيحتاج إلى سرعة عالية كسمة مهمة. مثال أفضل نتائج البحث سيفقد فضيلته إذا لم تظهر نتائج البحث بسرعة.
List the advantages and limitations of the Temporal Difference Learning Method.?,Temporal Difference Learning Method is a mix of Monte Carlo method and Dynamic programming method. Some of the advantages of this method include,قائمة بمزايا وحدود طريقة التعلم الخاصة بالاختلاف الزمني؟,وأسلوب التعلم المتعلق بالاختلاف الزمني هو مزيج من طريقة مونت كارلو وطريقة البرمجة الدينامية.
How would you handle an imbalanced dataset?,"Sampling Techniques can help with an imbalanced dataset. There are two ways to perform sampling, Under Sample or Over Sampling.",كيف تتعامل مع بيانات غير متوازنة؟,ويمكن لتقنيات أخذ العينات أن تساعد في إيجاد مجموعة بيانات غير متوازنة، وهناك طريقتان لأداء عملية أخذ العينات، تحت العينة أو فوق العينات.
