question,answer,questions_ar,answers_ar
Explain the difference between Normalization and Standardization.?,Normalization and Standardization are the two very popular methods used for feature scaling.,. en to ar: Explain the difference between Normalization and Standardization. Explain the difference between Normalization and Standardization. Explain the difference between Normalization and Standardization. en to ar: : en to ar: en to ar: en to ar:,of en to ar: en to ar: en to ar:.. .
What is Linear Regression?,"Linear Function can be defined as a Mathematical function on a 2D plane as, Y Mx C, where Y is a dependent variable and X is Independent Variable, C is Intercept and M is slope and same can be expressed as Y is a Function of X or Y F(x).",: What is Linear Regression? : What is Linear Regression? : What is Linear Regression? ? ? ? ? ? ? ? ? ? ? ? ?  tine,en to ar: Linear Function can be defined as a function on a 2D plane and same can be expressed as Y Mx C as Y Mx C where Y Mx C Y Mx C Y Mx C Y Mx C Y M Y
What could be the issue when the beta value for a certain variable varies way too much in each subset when regression is run on different subsets of the given dataset?,"Variations in the beta values in every subset implies that the dataset is heterogeneous. To overcome this problem, we can use a different model for each of the datasets clustered subsets or a nonparametric model such as decision trees.",en to ar: What could be the issue? en to ar: What could be the issue? en to ar: en to ar: en to ar: en: en to ar: en to ar: en:: ,en to ar: en to ar: en: en to ar: en to ar: en to ar: en to ar: en en more
What does the term Variance Inflation Factor mean?,Variation Inflation Factor (VIF) is the ratio of the models variance to the models variance with only one independent variable. VIF gives the estimate of the volume of multicollinearity in a set of many regression variables.,en to ar: What does the term Variance Inflation Factor mean? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ?? ,en to ar: Variation Inflation Factor (VIF) : Variation Inflation Factor: : :: :.: ::::.
What is Kernel Trick in an SVM Algorithm?,"Kernel Trick is a mathematical function which when applied on data points, can find the region of classification between two different classes. Based on the choice of function, be it linear or radial, which purely depends upon the distribution of data, one can build a classifier.",en to ar: What is Kernel Trick in an SVM Algorithm? en to ar: What is Kernel Trick? en to ar: ? en to ar: en to ar: ? ,. en to ar: en to ar: en to ar: en to ar: en to ar: en to ar: en to ar: ..e
How do you handle outliers in the data?,"Outlier is an observation in the data set that is far away from other observations in the data set. We can discover outliers using tools and functions like box plot, scatter plot, ZScore, IQR score etc. and then handle them based on the visualization we have got. To handle outliers, we can cap at some threshold, use transformations to reduce skewness of the data and remove outliers if they are anomalies or errors.",.. How do you handle outliers in the data? How do you handle outliers in the data? How do you handle outliers in the data? How do you handle outliers in the data? ? s,en to ar: Outlier is an observation in the data set that is far away from other observations in the data set. Outlier: out: out: out: out: out: out.
State the limitations of Fixed Basis Function.?,"Linear separability in feature space doesnt imply linear separability in input space. So, Inputs are nonlinearly transformed using vectors of basic functions with increased dimensionality. Limitations of Fixed basis functions are",Functions of Fixed Basis Functions. State the limitations of Fixed Basis Function. State the limitations of Fixed Basis Function. State the limitations of Fixed Basis Function. State the limitations of Fixed Basis Function. State the limitations of Fixed Basis Function. State the limitations of Fixed,"functions with increasing dimensionality. So, Inputs are nonlinearly transformed. So, inputs are not linearly transformed. So, inputs are not linearly transformed. So, inputs are not linearly transformed. So, input"
Define and explain the concept of Inductive Bias with some examples.?,"Inductive Bias is a set of assumptions that humans use to predict outputs given inputs that the learning algorithm has not encountered yet. When we are trying to learn Y from X and the hypothesis space for Y is infinite, we need to reduce the scope by our beliefsassumptions about the hypothesis space which is also called inductive bias. Through these assumptions, we constrain our hypothesis space and also get the capability to incrementally test and improve on the data using hyperparameters. Examples",en to ar: Define the concept of Inductive Bias with some examples with some examples. with some examples. with some examples. with some examples. with some examples. with some examples.? ? ? ? ? ? ? ? ? ???..s,en to ar: Inductive bias is a set of assumptions about the hypothesis space for Y. Examples. en to ar: Inductive bias: Inductive bias: Inductive bias. Inductive bias: Inductive bias. Inductive bias. Inductive piata.lonslonsastr 
Explain the term instancebased learning.?,Instance Based Learning is a set of procedures for regression and classification which produce a class label prediction based on resemblance to its nearest neighbors in the training data set. These algorithms just collects all the data and get an answer when required or queried. In simple words they are a set of procedures for solving new problems based on the solutions of already solved problems in the past which are similar to the current problem.,. . . . . . . . . . . . . . . . . . . . . . . . . . . . . ,based learning is a set of procedures for solving a new problem based on its nearest neighbors. In simple words  based learning.... Learning...
"Define precision, recall and F1 Score?",The metric used to access the performance of the classification model is Confusion Metric. Confusion Metric can be further interpreted with the following terms,... . . . . . . . . . . . . . . . . . . . . ,. Confusion Metric is used to access the performance of the classification model. Confusion Metric is used to access the performance of the classification model. Confusion Metric: Confusion Metric. Confusion Metric. Confusion Metric “ piata
Plot validation score and training score with data set size on the xaxis and another plot with model complexity on the xaxis.?,"For high bias in the models, the performance of the model on the validation data set is similar to the performance on the training data set. For high variance in the models, the performance of the model on the validation set is worse than the performance on the training set.",plot validation score and training score with model complexity on the xaxis. Translate en to ar: Plot validation score and training score with model complexity and training score with model complexity and training. en to ar: Training score ,": For high variance in the models, the performance of the model on the validation data set is similar to the performance on the training data set. For high variance: For high variance::: piataastr"
What is Bayes Theorem? State at least 1 use case with respect to the machine learning context?,"Bayes Theorem describes the probability of an event, based on prior knowledge of conditions that might be related to the event. For example, if cancer is related to age, then, using Bayes theorem, a persons age can be used to more accurately assess the probability that they have cancer than can be done without the knowledge of the persons age.Chain rule for Bayesian probability can be used to predict the likelihood of the next word in the sentence.",en to ar: What is Bayes Theorem? State at least 1 use case with respect to the machine learning context. State at least 1 use case: en to ar: en: en: en: en: enmm,en to ar: en to ar: en: en to ar: en to ar: en to ar: en to ar: en to ar: en signs
What is Naive Bayes? Why is it Naive?,Naive Bayes classifiers are a series of classification algorithms that are based on the Bayes theorem. This family of algorithm shares a common principle which treats every pair of features independently while being classified.,en to ar? Why is it Naive? en to ar: en to ar: en to ar: en to ar: en to ar: en to ar?  to ar: en to ar: en to ar? ,en to ar: en to ar: en to ar: en to ar: en to ar: en to ar: -
Explain how a Naive Bayes Classifier works.?,Naive Bayes classifiers are a family of algorithms which are derived from the Bayes theorem of probability. It works on the fundamental assumption that every set of two features that is being classified is independent of each other and every feature makes an equal and independent contribution to the outcome.,how a Naive Bayes Classifier works. ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ?? ?? ,en to ar: en to ar: en to ar: en to ar: en to ar: en to ar: ..
What do the terms prior probability and marginal likelihood in context of Naive Bayes theorem mean?,"Prior probability is the percentage of dependent binary variables in the data set. If you are given a dataset and dependent variable is either 1 or 0 and percentage of 1 is 65 and percentage of 0 is 35. Then, the probability that any new input for that variable of being 1 would be 65.",. en to ar: What do the terms prior probability and marginal likelihood mean? en to ar: What does the term prior probability and marginal likelihood mean? en to ar: ? en to ar: en to ar: ? en? : to.,en to ar: Prior probability is the percentage of dependent binary variables in the data set. en to ar: en to ar: en? en.. 
Explain the difference between Lasso and Ridge?,"Lasso(L1) and Ridge(L2) are the regularization techniques where we penalize the coefficients to find the optimum solution. In ridge, the penalty function is defined by the sum of the squares of the coefficients and for the Lasso, we penalize the sum of the absolute values of the coefficients. Another type of regularization method is ElasticNet, it is a hybrid penalizing function of both lasso and ridge.",. How do you translate e to r? How do you translate e to r? How do you translate e to r? ? ? ? ? ? ? ? ? ? ? ? ? ?,. Lasso(L1) and ridge(L2) are the regularization techniques. Lasso(L1) and ridge(L2) are regularization techniques.. ....... .. .. . . ....
Whats the difference between probability and likelihood?,"Probability is the measure of the likelihood that an event will occur that is, what is the certainty that a specific event will occur? Whereas a likelihood function is a function of parameters within the parameter space that describes the probability of obtaining the observed data.So the fundamental difference is, Probability attaches to possible results likelihood attaches to hypotheses.",. How to translate en to ar: Whats the difference between en and ar? How to translate en to ar: Whats the difference between en and ar? ? ? ? ? ? ? ? ? ?? ??. when,en to ar: Probability is a measure of the probability that an event will occur en to ar: en to ar: en to ar: s
Why would you Prune your tree?,"In the context of data science or AIML, pruning refers to the process of reducing redundant branches of a decision tree. Decision Trees are prone to overfitting, pruning the tree helps to reduce the size and minimizes the chances of overfitting. Pruning involves turning branches of a decision tree into leaf nodes and removing the leaf nodes from the original branch. It serves as a tool to perform the tradeoff.",. Why would you Prune your tree? : Why would you Prune your tree? ? : Why would you Prune your tree? ? : ? :  of,. en to ar: en to ar: en to ar: en to ar: en to ar: en: en: en????.
Model accuracy or Model performance? Which one will you prefer and why?,"This is a trick question, one should first get a clear idea, what is Model Performance? If Performance means speed, then it depends upon the nature of the application, any application related to the realtime scenario will need high speed as an important feature. Example The best of Search Results will lose its virtue if the Query results do not appear fast.",. Which one will you prefer and why? Which one will you prefer? Which one will you prefer? Which one will you prefer? Which one will you prefer? Which one will you prefer? Which one will you prefer? Which one will you? Which one? Which? ?? Which? and why? ss all Desi cinq,", en to ar: en to ar: en to ar: en to ar: en to ar: en to ar: en: en: en?? ?. andtairetaire réponse"
List the advantages and limitations of the Temporal Difference Learning Method.?,Temporal Difference Learning Method is a mix of Monte Carlo method and Dynamic programming method. Some of the advantages of this method include,. Describe the advantages and limitations of the Temporal Difference Learning Method. Describe the limitations and limitations of the Temporal Difference Learning Method. Describe the limitations. Describe the limitations. Describe.. Describe. Describe. Describe. Describe. Describe. Describe. .,. en to ar: en to ar: en to ar: en to ar: en to ar: en to ar: en to ar: en to ar: en to ar: en to ar: 
How would you handle an imbalanced dataset?,"Sampling Techniques can help with an imbalanced dataset. There are two ways to perform sampling, Under Sample or Over Sampling.",. How would you handle an imbalanced dataset? How would you handle an imbalanced dataset? How would you handle an imbalanced dataset? How would you handle an imbalanced dataset? How would you handle an imbalanced dataset? ? ? ? ?sees,en to ar: en to ar: en to ar: en to ar: en to ar: en to ar: en to ar: .
Mention some of the EDA Techniques?,Exploratory Data Analysis (EDA) helps analysts to understand the data better and forms the foundation of better models.,. en to ar: Describe some of the EDA Techniques. Describe some of the EDA Techniques. en to ar: en to ar: en to ar: en to ar: en to ar: ,en to ar: Translate en to ar: Translate en to ar: Translate en to ar: Translate: Translate: Translate: istaire
Mention why feature engineering is important in model building and list out some of the techniques used for feature engineering.?,"Algorithms necessitate features with some specific characteristics to work appropriately. The data is initially in a raw form. You need to extract features from this data before supplying it to the algorithm. This process is called feature engineering. When you have relevant features, the complexity of the algorithms reduces. Then, even if a nonideal algorithm is used, results come out to be accurate.",. en to ar: Describe how feature engineering is used in model building. Describe some of the techniques used for feature engineering. en to ar: en to ar: en to ar: en to ar: en to ar: ,en to ar: en to ar: en to ar: en to ar: en to ar: en: en: en:  piata
Differentiate between Statistical Modeling and Machine Learning?,"Machine learning models are about making accurate predictions about the situations, like Foot Fall in restaurants, StockPrice, etc. whereas, Statistical models are designed for inference about the relationships between variables, as What drives the sales in a restaurant, is it food or Ambience.",: Statistical Modeling and Machine Learning: Statistical Modeling and Machine Learning to ar: Statistical Modeling and Machine Learning to ar: Statistical Modeling to ar: Statistical Modeling: Statistical Modeling to ar: Statistical Modeling: Statistical Modeling: Statistical Modeling ,": Statistical models are about inferring the relationships between variables. whereas, Statistical models are about inferring the relationships between variables. : Statistical models."
Differentiate between Boosting and Bagging?,Bagging and Boosting are variants of Ensemble Techniques.,.com..com...com...com.. . . a. b. . a. b. . a. b. . a. b. .. a. b. ......................... ,. Bagging and Boosting are variants of Ensemble Techniques. Boosting are variants of Ensemble Techniques. Boosting are variants of Ensemble Techniques. Boosting are variants of Ensemble Techniques. Boost. 
What is the significance of Gamma and Regularization in SVM?,"The gamma defines influence. Low values meaning far and high values meaning close. If gamma is too large, the radius of the area of influence of the support vectors only includes the support vector itself and no amount of regularization with C will be able to prevent overfitting. If gamma is very small, the model is too constrained and cannot capture the complexity of the data.",. en to ar: What is the significance of gamma in SVM? en to ar: What is the significance of gamma in SVM? ? ? en to ar: en to ar: en to ar:  on,en to ar: The model is too constrained and cannot capture the complexity of the data en to ar: The model is too constrained. en to ar: .eck
Define ROC curve work?,The graphical representation of the contrast between true positive rates and the false positive rate at various thresholds is known as the ROC curve. It is used as a proxy for the tradeoff between true positives vs the false positives.,? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ,en to ar: The ROC curve is a graphical representation of the tradeoff between true positives and false positives...:. ...
What is the difference between a generative and discriminative model?,"A generative model learns the different categories of data. On the other hand, a discriminative model will only learn the distinctions between different categories of data. Discriminative models perform much better than the generative models when it comes to classification tasks.",. What is the difference between a generative model and a discriminative model? Explain the difference between a generative and discriminative model. ? ? ? ? ? ? ? ? ? ? ? ? ?  ,: A generative model learns the different categories of data. A discriminative model: A discriminative model learns the different categories of data. A discriminative model: A discriminative model.srap
What are hyperparameters and how are they different from parameters?,"A parameter is a variable that is internal to the model and whose value is estimated from the training data. They are often saved as part of the learned model. Examples include weights, biases etc.",. What are hyperparameters and how are they different from parameters? Answer: Parameters are different from parameters. Answer: Parameters are different from parameters. Answer: Parameters are different from parameters: Parameters: Parameters to ar: Parameters?,en to ar: en to ar: en to ar: en to ar: en: en??????
What is shattering a set of points? Explain VC dimension.?,"In order to shatter a given configuration of points, a classifier must be able to, for all possible assignments of positive and negative for the points, perfectly partition the plane such that positive points are separated from negative points. For a configuration of n points, there are 2n possible assignments of positive or negative.",en to ar: Explain en to ar. Explain en to ar: Explain en to ar. Explain en to ar. Explain en to ar. Explain en to ar. Explain en to ar. ? ? ? ? ? ?? ,en to ar: en to ar: en to ar: en to en to ar: en to ar: en to ar: en: en?????s piata
What are some differences between a linked list and an array?,"Arrays and Linked lists are both used to store linear data of similar types. However, there are a few difference between them.",en to ar en to ar: What are some differences between a linked list and an array? : en to ar: : en to ar: : en to ar: en to ar: en to ar: en to ar: en to ar: en to ar: en to ar: en to ar: en to ar,. Arrays are used to store linear data of similar types. Linked lists are also used to store arrays: Linked lists...
What is the meshgrid () method and the contourf () method? State some usesof both.?,"The meshgrid( ) function in numpy takes two arguments as input range of xvalues in the grid, range of yvalues in the grid whereas meshgrid needs to be built before the contourf( ) function in matplotlib is used which takes in many inputs xvalues, yvalues, fitting curve (contour line) to be plotted in grid, colours etc.",: What is the meshgrid () method? State some usesof both. State some usesof both. Describe en to ar: What is the meshgrid method? State some usesof both. State some. ? ? ,en to ar: The meshgrid( ) function in matplotlib needs to be built before contourf( ) function in matplotlib is used en to ar:  en to ar: : : : : :  piata
Describe a hash table.?,Hashing is a technique for identifying unique objects from a group of similar objects. Hash functions are large keys converted into small keys in hashing techniques. The values of hash functions are stored in data structures which are known hash table.,: Describe a hash table. Describe a hash table. Describe a hash table. Describe a hash table. Describe a hash table. Describe a hash table. Describe a hashs.,. en to ar: Hashing is a technique for identifying unique objects from a group of similar objects. Hashing is a hashing technique. g 
List the advantages and disadvantages of using Neural Networks.?,Advantages,en to ar: List the advantages and disadvantages of using Neural Networks.? ?? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ??,nnnnnn a to rn a to r to en a to r to e.sjungdeutschedeutschedeutschedeutschedeutschedeutschedeutschedeutschedeutschedeutschedeutschedeutschedeutschedeutschedeutschedeutschedeutschedeutschedeutschedeutschedeutschedeutschedeutschedeutschedeutschedeutschedeutschedeutschedeutschedeutschedeutschedeutschedeutschedeutschedeutschedeutsches
You have to train a 12GB dataset using a neural network with a machine which has only 3GB RAM. How would you go about it?,"We can use NumPy arrays to solve this issue. Load all the data into an array. In NumPy, arrays have a property to map the complete dataset without loading it completely in memory. We can pass the index of the array, dividing data into batches, to get the data required and then pass the data into the neural networks. But be careful about keeping the batch size normal.",. How would you train a 12GB dataset using a neural network? Translate en to ar: You have to train a 12GB dataset. How would you train a 12GB dataset? How?  is but,: en to ar: en to ar: en to ar: en to ar: en to ar: en to ar: en to ar: :::: 
Write a simple code to binarize data.?,Conversion of data into binary values on the basis of certain threshold is known as binarizing of data. Values below the threshold are set to 0 and those above the threshold are set to 1 which is useful for feature engineering.,en to ar: Write a simple code to binarize data. en to ar: Write a simple code to binarize data. en to ar: . en to ar: . en to ar: . en to ar: ,en to ar: en to ar: en to ar: en to ar: en: en: en to ar. piata
