question,answer,images
What different targets do classification and regression algorithms require?,"Regression algorithms require categorical and numerical targets. Here, regression finds correlations between dependent and independent variables. It helps predict continuous variables such as market trends and weather patterns.On the other hand, classification is an algorithm that segregates the dataset into classes on various parameters. Here classification algorithms work to predict the willingness of bank customers to pay their loans, email, or spam classification.",
What are five popular algorithms used in Machine Learning?,"Neural Networks: It is a set of algorithms designed to help machines recognize patterns without being explicitly programmed.Decision trees: It is a Supervised learning technique where internal nodes represent the features of a dataset, branches represent the decision rules, and each leaf node represents the outcome.K-nearest neighbor: K-nearest neighbor (KNN) is a supervised learning algorithm used for classification and regression. The algorithm finds the k-nearest data points in the training dataset and uses them to make predictions. It works by calculating the distance between the query point and the k-nearest data points and then uses the labels of these points to make a prediction.Support Vector Machines (SVM): It is used to create the best line or decision boundary that can segregate n-dimensional space into classes to put the new data point in the correct category quickly.Probabilistic networks: They are graphical models of interactions among a set of variables, where the variables are represented as nodes of a graph and the interaction as directed edges between the vertices. It allows a compact description of complex stochastic relationships among several random variables.",
What is the confusion matrix?,"Theconfusion matrixconsists of an error matrix table used for concluding the performance of a classification algorithm. It determines the classification models' performance for a given test data set. It has multiple categorical outputs, but it can only be determined if the actual values for test data are known.",
List the differences between KNN and k-means clustering.,,images\question_23_image_1.jpg
What are the differences between Type I error and Type II error?,,images\question_24_image_1.jpg
What is semi-supervised learning?,A semi-supervised learning happens when a small amount of labeled data is introduced to an algorithm. The algorithm then studies that data and uses it on unlabeled data. Semi-supervised learning combines the efficiency of unsupervised learning and the performance of supervised learning.,
Where are semi-supervised learning applied?,"Some areas it is applied include labeling data, fraud detection, and machine translation.",
What is stemming?,"Stemming is a normalization technique that removes any affix joined to a word, leaving it in its base state. It makes text easier to process. It is commonly used in information retrieval, an important step in text pre-processing and text mining applications. Stemming can be used in various NLP tasks such as text classification, information retrieval, and text summarization.",
What is Lemmatization?,"This is a normalization technique that converts a word into a lemma form, or the root word, which is not the stem word. It is a process in which a word is reduced to its base form, but not similar to stemming; it considers the context of the word and produces a valid word. Lemmatization is quite difficult compared to stemming because it requires a lot more knowledge about the structure of a language; it's a much more intensive process than just trying to set up a heuristic stemming algorithm. Lemmatization is often used in natural language processing (NLP) applications to improve text analysis and feature extraction.",
What is a PCA?,"PCA meansPrincipal Component Analysis, and is mainly used for dimension reduction. It is a statistical technique used to reduce the dimensionality of large datasets while retaining as much information as possible. In other words, it identifies patterns and correlations among variables and summarizes them into a smaller set of uncorrelated variables called principal components.PCA is commonly used in data preprocessing and exploratory data analysis to simplify data visualization, identify outliers, and reduce noise in the data. It is also used in machine learning and pattern recognition applications to improve model performance by reducing the number of features used in the analysis.",
What are support vectors in SVM (Support Vector Machine)?,Support vectors are the data points in a dataset that are closest to the hyperplane (the line that separates the classes in the dataset) and are used to build the classifier.,
"In terms of access, how are array and linked lists different?","Linked lists allow users to transverse the full linked lists, even up to the element in a sequential access pattern. However, an array provides access to elements directly using their index value.",
What is P-value?,P-value or probability value indicates the probability of obtaining the observed data or more extreme values by random chance. A small P-value suggests that the observed result is unlikely and that observed data is consistent with the null hypothesis and provides evidence to support the alternative hypothesis.,
What techniques are used to find resemblance in the recommendation system?,"Cosine and Pearson Correlation are techniques used to find resemblance in recommendation systems. Where the Pearson correlation coefficient is the covariance between two vectors divided by their standard deviation, Cosine, on the other hand, is used for measuring the similarity between two vectors.",
What is the difference between Regression and Classification?,"Classification is a concept used to produce discrete results and to classify data into specific regions. On the other hand, regression is used to assess the relationship between independent variables and dependent variables.",
What does the area under the ROC curve indicate?,"ROC stands for Receiver Operating Characteristic. It measures the usefulness of a test where the larger the area, the more useful the test. These areas are used to compare the effectiveness of the tests. A higher AUC (area under the curve) generally indicates that the model is better at distinguishing between the positive and negative classes. AUC values range from 0 to 1, with a value of 0.5 indicating that the model is no better than random guessing, and a value of 1 indicating perfect classification.",
What is a neural network?,"Much like a human brain, the neural network is a network of different neurons connected in a way that helps information flow from one neuron to the other. It is a function that maps input to desired output with a given set of inputs. Structurally, it is organized into an input layer, an output layer, and one or more hidden layers.",
What is an Outlier?,"An outlier is an observation that is significantly different from the other observations in the dataset and can be considered as an error that should be avoided in data analysis. However, they also give insight into special cases in our data at certain times.",
What is another name for a Bayesian Network?,"Casual network, Belief Network, Bayes network, Bayes net, Belief Propagation Network, etc. are some of its other names. It is a probabilistic graphical model that showcases a set of variables and their conditional dependencies.",
What is ensemble learning?,Ensemble learning is a method that merges multiple machine learning models to create various powerful models. The aim is to provide better performance by combining models rather than sticking to a single model.,
What is clustering?,"Clustering is a process of grouping sets of items into several groups. Items or objects must be similar within the cluster and different from other objects in other clusters. The goal of clustering is to identify patterns and similarities in the data that can be used to gain insights and make predictions. Different clustering algorithms use different methods to group data points based on their features and similarity measures, such as distance or density. Clustering is commonly used in various applications such as customer segmentation, image and text classification, anomaly detection, and recommendation systems.",
How would you define collinearity?,Collinearity is when two predator variables in a multiple regression share some correlations.,
What is overfitting?,Overfitting is said to happen when a statistical model observes and learns the details in the training data to the point that it starts negatively impacting the model's performance on new datasets.,
What is the Bayesian Network?,"Bayesian networkrepresents a graphical model between sets of variables. We say it probabilistic because these networks are built on a probability distribution and also use probability theory for prediction and anomaly detection. Bayesian networks are used in for reasoning, diagnostic, anomaly detection, prediction to list a few.",
What is the time series?,"Time seriesis a particular sequence of data observations in successive order collected over a period. It usually does not need any maximum or minimum time input. It basically forecasts target values based solely on a known history of target values. It is used to predict time-based predictions such as signal processing, engineering domain- communications and control systems, and weather forecasting models.",
What is dimension reduction in ML?,"Dimension reduction is the reduction of variables put under consideration.  It lessens the number of features in a dataset while saving as much information as possible. This can be done for various reasons, such as to improve the performance of a learning algorithm, reduce the complexity of a model, or make it easier to visualize the data.",
What is underfitting?,"Underfitting is a type of error in ML models where the model fails to capture the underlying pattern of the data. It occurs when a model is too simplistic and is unable to capture the complexity of the data, leading to poor generalization performance on unseen data. In other words, the model is not complex enough to accurately capture the relationship between the input and output variables. This often leads to high bias and low variance.",
What is sensitivity?,This is the probability that the prediction outcome of the model is true when the value is positive. It can be described as the metric for evaluating a model’s ability to predict the true positives of each available category.Sensitivity = TP / TP+FN (i.e. True Positive/True Positive + False Negative),
What is specificity?,This is the probability the prediction of the model is negative when the actual value is negative.  It can be termed as the model’s ability to foretell the true negative for  each category available..Specificity = TN / TN + FP (i.e. True Negative/True Negative + False Positive),
What are the differences between stochastic gradient descent (SGD) and gradient descent (GD)?,"Both of these gradients are algorithms used to ascertain the parameters that will minimize a loss function. However, in the case of GB, all training samples are evaluated for each set of parameters. On the contrary, for SGB, one training sample is always evaluated for a set of parameters.",
What is an Array?,"An array is a collection of data elements of the same type, such as integers, strings, or floating-point numbers, stored in contiguous memory locations. Every component of an array is identified by an index that represents its position in the array.",
What is a linked list?,This is an ordered collection of similar data type elements joined with pointers. It consists of several individual allocated nodes or a series of connected nodes. Each node contains data plus a pointer or the address of the next node in the list.,
Explain Decision Tree in ML.,"Decision treeis a supervised machine learning method that shows a map of possible outcomes of related decisions, similar to a tree structure using datasets divided into smaller subsets as the decision tree develops.",
Why is the Naive Bayes Method ‘Naive’?,"TheNaive Bayesis called naive because, as a supervised learning algorithm, it makes assumptions by applying the Bayes Theorem that all attributes are independent of each other.",
State the Bayes’ theorem for Naive Bayes Method.,"The Bayes' theorem for Naive Bayes Method is stated as follows:P(A|B) = P(B|A) * P(A) / P(B)Where,P(A|B) is the posterior probability of class (target) given predictor (attribute)P(B|A) is the likelihood which is the probability of predictor given classP(A) is the prior probability of classP(B) is the prior probability of predictor",
What is Static Memory Allocation?,"This is when memory is allocated as soon as the array is declared at compilation time. This allocation offers more efficiency and speed in operation as there is no overhead. However, once allocated, the assigned memory space cannot be deallocated during compilation. Static memory is automatically deallocated when the program terminates, and the memory is returned to the operating system.",
How would you define Dynamic Memory Allocation?,"Memory allocation is said to be dynamic if the allocation occurs at runtime whenever a new node is added. Nowadays, modern operating systems use dynamic memory allocation.DMA is useful in scenarios such as:You don't know the amount of memory needed beforehand.You want data structures without any upper limitFor efficient use of memory space",
How would you define Precision and Recall?,"Precision and Recall are two commonly used metrics in the field of ML to evaluate the performance of a binary classification model.Precision measures how many of the items predicted to belong to the positive class are actually positive. It is defined as the ratio of true positives (TP) to the total number of predicted positives.Precision = TP / (TP + FP)Recall, on the other hand, measures how many of the actual positive items the model is able to identify. It is defined as the ratio of TP to the total number of actual positives.Recall = TP / (TP + FN)",
What are some tools used to discover outliers?,"Outliers are errors or extreme values that differ from the data in a set. They can impact the accuracy of your result if not detected through the outlier detection tools. Some popular tools to discover outliers include Z-score, Scatter plot, and Box plot.",
What is the Fourier Transform?,This mathematical technique is used to transform a function of time into a function of frequency. It is necessary for ML and deep learning because a convolution in the time domain is a multiplication in the frequency domain.,
What is Inductive Logic Programming?,"Inductive logic programming (ILP) is a part of AI that uses logic programming and serves as a uniform representation for examples, background knowledge, and hypotheses. It involves developing algorithms and systems that can automatically learn logic programs from input-output examples, which can then be used to make predictions on new input data.We can apply it to various domains, including software engineering, natural language processing, and bioinformatics.",
Explain Kernel SVM.,"Kernel SVM stands for Kernel Support Vector Machine. In SVM, a kernel is a function that aids in problem-solving. They provide shortcuts to help you avoid doing complicated math. The amazing thing about kernel is that it allows us to go to higher dimensions and execute smooth computations. Kernel SVMs can work with a variety of kernel functions, including linear, polynomial, and radial basis function (RBF) kernels, among others.",
What are some types of clustering?,"These are some types of clustering:Fuzzy clustering: Each data point can belong to multiple clusters.: It divides a set of n observations into k clusters. Used in situations when one doesn’t have existing group labels.Hierarchical clustering: It is an algorithm that groups similar objects into segments called clusters. Here, each cluster differs from the others, and the objects within each cluster are the same.Density-based clustering: It clusters data based on their density and hence requires uniform density within the cluster. Here density drops n=between clusters.",
How would you describe reinforcement learning?,"Reinforcement learning is a type of ML where an agent interacts with an environment and learns to make decisions based on feedback from the environment in the form of rewards or penalties. Unlike supervised and unsupervised learning, the agent is not given labeled data but instead learns from its own experiences through trial and error. The objective of reinforcement learning is to find an optimal policy that maximizes the cumulative reward obtained by the agent over time.",
What are some methods to improve inference time?,Some methods to improve inference time are as follows:Cache predictionsKnowledge distillationReduction of parameters by pruningModel size reductionParallel computing,
What is content-based filtering and collaborative filtering?,"Content-based filteringrecommends items to a user based on their past behavior, preferences, and interests. For example, if a user has shown interest in action movies, then the content-based filtering algorithm will recommend more action movies to that user.Collaborative filteringrecommends items to a user based on the preferences of other users who have similar tastes. For example, if a user has watched several action movies, the collaborative filtering algorithm will recommend other action movies that were also watched by users who have similar movie preferences.",
What is deductive learning and inductive learning?,"Deductive learning is the process of using conclusions to form observations, while inductive learning is using observations to draw conclusions.Deductive learning is a top-down approach where a general principle or theory is used to make specific predictions about observations or new data. The process involves starting with a general statement, or hypothesis, and then testing it through observation and experimentation to confirm or reject the hypothesis.Inductive learning, on the other hand, is a bottom-up approach where specific observations or data are used to form a general principle or theory. This approach involves observing patterns and regularities in the data, and then using those observations to form a hypothesis or general principle.We use inductive learning when there is little or no data available to derive conclusions. On the contrary, some theories are available in the deductive learning approach.",
How would you differentiate data mining from Machine learning?,"Data mining is the process of using structured data to extract information or find anomalies, correlations, and patterns within large datasets to predict outcomes using machine learning algorithms.But Machine Learning is the development of algorithms to provide abilities to processors to learn without being programmed.",
Why is the ROC in a curve important?,"The ROC curve is important because it is a visual representation of how well a model can distinguish between two classes, and it can be used to compare different models. The area under the curve (AUC) is a measure of how well the model performs, with a higher AUC indicating a better model. Additionally, the shape of the curve can indicate whether a model is biased towards one class or another.",
Why does overfitting occur in ML?,"Overfitting occurs in ML when the model is too complex or has too many parameters relative to the amount of data that is available. This causes the model to fit the noise of the data rather than the underlying patterns, resulting in poor generalization and an inability to accurately predict on previously unseen data.",
What are the functions of unsupervised learning?,The following are some functions of unsupervised learning:Dimensionality reductionFinding clusters of dataAnomaly deduction,
What are some functions of supervised learning?,Some functions of supervised learning as follows:RegressionFeature selectionClassificationTime series forecasting,
What are the two components of Bayesian logic?,"Two components of Bayesian logic are as follows:Prior distribution: This is the information or beliefs that you have about the world before observing any new data. Prior knowledge is typically represented as a probability distribution over possible states of the world.Likelihood principle: This is a function that describes the probability of observing some data given a particular state of the world. The likelihood function is typically derived from scientific theories, empirical observations, or expert opinions.",
How would you describe a Recommender system?,A recommendation engine can be seen as a system to predict users’ likes and interests and recommend products that fit their tastes. Data used in this system can be derived from user ratings of movies and songs and search engine history.,
What functions are used to perform categorical conversion into factor?,ML  algorithms need numeric inputs. It requires converting categorical values into factors to get the latter. The functions factor () and as.factor () are used to perform categorical conversion into factor.,
Are elements stored consecutively in linked lists?,No. Elements can be stored anywhere in linked lists. A linked list contains nodes where each node is composed of a data field and a reference (link) to the next node.,
What is Regularization in ML?,"Regularizationis a technique used to prevent overfitting in ML models. Overfitting occurs when a model is too complex and fits the training data too closely, resulting in poor performance on new, unseen data. Regularization techniques add a penalty term to the model's objective function, which encourages the model to find simpler solutions by reducing the magnitude of the coefficients or parameters in the model. This reduces the model's ability to fit the noise in the training data, resulting in better generalization performance on new data. Some popular regularization techniques include L1 (lasso) and L2 (ridge) regularization, which differ in the way they penalize the coefficients.",
"Do you consider decision trees to have any advantages or disadvantages? If yes, what are they?","Decision tree algorithms are favored for their interpretability, scalability, and accuracy. They can be used to classify data points quickly and accurately, and are great for dealing with large datasets. They are also simple to understand, making them great for explaining complex models to non-technical stakeholders.",
What do you understand about the exploding gradient technique problem in the back propagation technique?,"The exploding gradient problem occurs when large error gradients gather in training, resulting in large changes in the neural network weights. It can result in NaN values due to the values of weights being too large.",
What do you understand about the Bias-Variance Tradeoff?,"If your model is simple with only a few parameters, it will have high bias and low variance. With many parameters, it will have low bias and high variance. One needs to find the right balance without overfitting and underfitting the data. This is why there is a tradeoff between bias and variance. Bias-variance tradeoff is important as it helps us know the limitations of our model and how to improve on it.",
"How would you describe an F1 score, and how would you use it?","This is an evaluation metric in ML that sums up the predictive performance of a model by combining two competing metrics, namely, Precision and Recall. In binary classification, we assume F1 score to measure a model’s accuracy because it is the weighted average of precision and recall scores.Scores of F1 range from 0 to 1, with 1 being the best score and 0 being the worst. These F1 scores are used in information retrieval to see how well a model recovers results and how the model performs.",
Explain the difference between the Loss functions and Cost functions.,"We usually call it the Loss function when calculating loss considering only a single point. However, we call it the Cost function when calculating the sum of errors for multiple data.In simpler terms, the cost function sums the difference for the training database, while the loss function shows the difference between the actual and predicted values for a single record.",
How do you handle outlier values?,"Three simple strategies can be used to handle outliers, and these are:Dropping themMarking them as outliers and including them as a featureTransforming the feature to reduce the effect of the outlier",
"What is a random forest, and how does it work?","Random forest is an ensemble learning method that combines multiple decision trees to make predictions. Each decision tree is built using a different subset of the training data and a random subset of the features. This randomness helps to prevent overfitting and improve the generalization of the model.Random forest works in the following steps:Take up a sample size from the training dataStart with a particular nodeRun the algorithm from the start node viz: If the number of observations is smaller than node size, then stop Select random variables Spot the variable that is best at splitting the observations Divide the observations into two nodes Call step ‘a’ on each of these two nodesDuring the process of building each decision tree, the algorithm splits the data at each node based on the feature that provides the best split. This split is determined using a metric such as information gain or Gini impurity.Once all the decision trees are built, they are used together to make predictions. The idea is that each tree has its strengths and weaknesses, but by combining them, the weaknesses are averaged out, and the strengths are amplified. This ensemble approach is often more accurate than using a single decision tree.",
What ensemble techniques can be used to aggregate multiple models?,"Two ensemble techniques that can be used include Bagging and Boosting:Bagging ((Bootstrap Aggregating): It is a  technique where multiple independent models are trained on different subsets of the training data, and their predictions are aggregated to form the final prediction. The idea behind bagging is to reduce the variance of the model by averaging over multiple models.Boosting: This is an iterative ensemble technique where the models are trained sequentially, and each subsequent model is trained on the instances where the previous model performed poorly. The idea behind boosting is to reduce the bias of the model by focusing on the misclassified instances",
What methods can be used to find the threshold of a classifier?,"The threshold for a classifier can be derived using precision-recall Curves and ROC Curves. In other instances, a grid search can be used to adjust the threshold for finding the best value.",
How can you check for the Normality of a dataset?,"Plots can be used to check for the normality of datasets, and some of these checks are:Kolmogorov-Smirnov TestShapiro-Wilk TestAnderson-Darling TestD’Agostino Skewness Test",
How can you differentiate between a parametric and a non-parametric model?,"Parametric models have limited parameters and only need to know the model's parameters to predict new data, whereas non-parametric models have unlimited parameters and have more flexibility in new data prediction.",
Do you think logistic regression can be used  for more than two classes?,"No. Logistic regression is a binary classifier; thus, it cannot be applied to more than two classes. However, it can be employed in multinomial logistic regression of solving multi-class classification problems.",
What differences exist between Softmax and Sigmoid functions?,"The sigmoid function is a mathematical function that maps any input value to a value between 0 and 1 and it is used for binary classification. On the other hand, the softmax function is used for multi-classification, and the sum of the probabilities will be 1.",
How can overfitting be avoided in ML?,Some of the methods that you can use to avoid overfitting in machine learning are:Cross validationCustom feature selectionData augmentationUsing larger datasetsData simplificationEnsemblingRegularization,
Which is better to have? A false positive or false negative?,t depends on the situation. A false negative is risky in fields like medicine when a virus is scanned and reported absent when it is present. A false positive is risky in situations like spam email detection because it can classify an important email as spam.,
How would you handle a dataset suffering from high variance?,"The bagging algorithm can be used to split the data into subgroups sampling replicated from random data. After this split, the random data is utilized to establish rules using a training algorithm. Thereafter, the polling technique is used to combine all the predicted outcomes of the model.",
Explain Genetic programming as it relates to Evolutionary algorithm.,"Genetic programming is similar to Evolutionary algorithm. It is a subset of evolutionary algorithms that implement the model's parameter, random mutation, crossover, fitness function, and various layers of evolution to resolve a user-defined task.Through repeated generations of evaluation and modification, genetic programming can evolve increasingly complex and sophisticated programs that are optimized for the task at hand. This approach can be used for a wide range of applications, from artificial intelligence and machine learning to robotics and optimization problems.",
What are some classification methods that SVM can handle?,Some classification methods SVM can handle are as follows:Binary classificationMulticlass classificationMultilabel classification,
Why do you think instance-based learning algorithm is  sometimes referred to as Lazy learning algorithm?,"Instance-based learning algorithm is sometimes referred to as lazy learning algorithm because it does not require any training data or generalization of the data. Instead, it uses the data the algorithm is given and stores it in memory for use in future predictions. The algorithm does not actively learn from the data, but rather relies on the stored instances to make predictions. Thus, its learning process can be seen as ""lazy"" as compared to other algorithms that actively learn from the data.",
Explain the reason for pruning of a decision tree.,Pruning is the process of removing unnecessary nodes in a decision tree in order to reduce the complexity and improve the generalization accuracy of the model. It is used to prevent overfitting. Pruning helps in reducing the complexity of the decision trees by removing the nodes that do not have a great impact on the prediction accuracy.,
How Regularization reduces the cost term?,"Regularization is a technique used to prevent overfitting by adding a penalty term to the cost function. The penalty term is designed to discourage the model from assigning too much importance to any single feature or parameter, and encourages the model to distribute importance across all features.",
What's the need to convert categorical variables into factors?,"Converting categorical variables into factors is necessary because many ML algorithms cannot work with categorical variables in their raw form. ML algorithms work with numerical values, and factors are a way of representing categorical variables as numerical values.",
Do you believe treating a categorical variable as a continuous variable will result in a  better predictive model?,"For a better predictive model, the variable has to be ordinal in nature.",
Why do we need the confusion matrix?,The confusion matrix is usually a summary of predictions on a classification model that enables us to visualize the performance of an algorithm or model. It measures the performance of an algorithm or model.,
What differentiates Gradient boosting and Random forest?,,images\question_101_image_1.jpg
How does a Box-Cox transformation occur?,"This happens when there is a power transformation of non-normal dependent variables into normal variables. It involves a lambda parameter which, when set to zero, indicates that this transform is equivalent to log-transform.",
"What functions can be used to identify, drop, and replace missing or corrupted values?","Usually, missing or corrupted values happen when no data is available for certain variables; this can happen due to incomplete data entry, lost files, etc. Some functions that identify, drop, and replace missing or corrupted values are IsNull(), dropna( ), and Fillna() functions in Pandas.",
How is data divided in cross-validation?,"Cross validation divides data into three parts which are training, testing, and validation data. Data is further divided into k numbers of sub-parts, and the model is trained on k-1 of those sub-parts and then tested on the remaining fold. This process is repeated k times, with each of the k folds used exactly once for testing. The final performance metric is the average of the performance metrics from each of the k test sets.",
"A game exists where you are required to roll two six-faced dice. You stand a chance to win $50 if the sum of the two dice equals 7. However, you must pay $4 to play each time you roll both dice. Would you partake in this game?Note:  If you play 6 times, what is the probability of making money from this game?","The first condition states that if the sum of the values on the 2 dice is equal to 7, then you win $50. But for all the other cases, you must pay $4.To begin with, let's estimate the number of possible cases if we throw the two dice. The total number of cases is 6*6 = 36.In these 36 cases, how many produce a sum of 7?Possible combinations that produce a sum of 7 are (1,6), (2,5), (3,4), (4,3), (5,2) and (6,1)..This indicates that out of 36 chances, 6 will produce a sum of 7. The ratio now is 6/36 = 1/6So this suggests that we have a chance of winning $50, once in every 6 games.So to answer the question, if I play 6 times, I will win $50 for one game, whereas for the other 5 games I will have to pay $4 each, which is $20 for all five games. Therefore, I will be at a winning advantage if I win $50 but end up paying $20. Statistically, I’ll be making a profit of $30 every 6 games.",
Assuming you have a two-column table of users and their friends coupled with a two-column table of users and their liked pages. Write a SQL query to make recommendations using pages that your friends have liked when it should not recommend pages that you have liked.,,images\question_106_image_1.jpg
When recommendations like “....people who did this also bought this” comes up on a website. What sort of algorithm propels that?,This is a recommendation based on collaborative filtering. Collaborative filtering compares users' activities on a website and recommends similar actions to users with similar interests or behavior.,
What would you do if the model you have trained has a high variance and low bias?,"To solve high variance problems, we will use regularization techniques to rectify this or select the higher features in the feature importance graph to train the model.For low bias, we could use the bagging algorithm to divide the data into sub-parts using randomized sampling. Thereafter, we can create models with these samples using just one algorithm. Finally, we join the model prediction using voting classification or, perhaps, averaging.",
