question_translated,answer_translated
ذكر بعض تقنيات EMDA؟,يساعد تحليل البيانات المستكشفة (EDA) المحللين على فهم البيانات بشكل أفضل ويشكل أساس نماذج أفضل.
يذكر لماذا تعتبر هندسة الميزات مهمة في عمارة الأزياء ويسرد بعض التقنيات المستخدمة لهندسة الميزات.,يحتم ألگوريثم Algorithms وجود مميزات ذات بعض الخصائص المحددة لتعمل بشكل مناسب، فالبيانات في البداية في شكل خام، تحتاج إلى استخلاص ملامح من هذه البيانات قبل إمداد الخوارزمية
اختلاف بين النمذجة الإحصائية وتعلم الآلات؟,نماذج التعلم الآلي هي عن إجراء تنبؤات دقيقة حول الحالات، مثل ڤوت ڤال في المطاعم، وستوكپريس، وغيرها في حين أن النماذج الإحصائية مصممة للكشف عن العلاقات بين المتغيرات، كما أن ما يقود المبيعات في مطعم
اختلاف بين پوستينگ و پاتنگ؟,البكتات والپوستنگ هي تنويعات من تقانات إنسيمبل.
ما هي أهمية گاما والانتظام في SVM؟,تعرڤ گاما التأثير.القيم المنخفضة تعني القيم البعيدة والراقية وتعني المقربة.إذا كانت گاما كبيرة للغاية، فإن نصف قطر منطقة تأثير متجهات الدعم لا يشمل سوى متجه الدعم نفسه ولا يمكن لأي
تعريف عمل منحنى ROC؟,يُعرف التمثيل البياني للتناقض بين المعدلات الإيجابية الحقيقية والمعدل الموجبة الكاذبة عند مختلف الدويلات باسم منحنى ROC.يستخدم كبديل للمفاضلة بين الموجبة الحقيقية مقابل الموجبة الزائفة.
ما هو الاختلاف بين نموذج الأنساب والمسكرات؟,ويتعلم النموذج الجيني الفئات المختلفة من البيانات، أما النموذج الجامح فلن يتعلم إلا التمييز بين الفئات المختلفة من البيانات، أما النماذج الجامدة فتؤدي أداءً أفضل بكثير من النماذج الجينيّة عندما يتعلق الأمر بمهام التصنيف.
ما هي الپارامترات الفائقة وكيف تختلف عن الپارامترات؟,پارامتر هو متغير داخلي للنموذج والذي تقدر قيمته من بيانات التدريب.غالباً ما يتم حفظها كجزء من النموذج المتعلم.المثالات تتضمن الأوزان، التحيزات وغيرها.
ما الذي يحطم مجموعة من النقاط؟ شرح بعد ڤي سي.,لكسر تشكيل معين من النقاط، يجب أن يتمكن المصنف من، لجميع الانتدابات المحتملة من الموجبة والسلبية للنقاط، تقسيم الطائرة بشكل كامل بحيث تفصل النقاط الموجبة عن النقاط السالبة.للتشكيل من نقاط n،
ما هي بعض الاختلافات بين قائمة مرتبطة ومصفوفة؟,تستخدم كل من قوائم أرايس ولينكد لتخزين بيانات خطية من أنواع متشابهة.ومع ذلك، هناك فرق قليل بينها.
"ما هي الطريقة الميشگريدية (""Meshgrid"") و طريقة الكونتورڤ (""Contourf"")؟ هل تذكر بعض الاستخدامات لكليهما.",يأخذ الميشگريد () في numpy مبرهنتين كمجال xvalues في الشبكة، ونطاق yvalues في الشبكة بينما يحتاج الميشگريد إلى أن يُبنى قبل أن تُستخدم دالة
وصف مائدة حشائش,هاشنگ هي تقنية لتحديد الأجسام الفريدة من مجموعة من الأجسام المتماثلة.أعمال الهاش عبارة عن مفاتيح كبيرة يتم تحويلها إلى مفاتيح صغيرة في تقنيات الوشنج.تُخزن قيم وظائف الهاش في هياكل البيانات التي
قائمة مزايا وعيوب استخدام الشبكات الجديدة.,ڤيروسات
يجب أن تدرب مجموعة بيانات 12GB باستخدام شبكة عصبية بآلة تمتلك 3GB RAM فقط.,يمكننا استخدام صفائف NumPy لحل هذه المسألة.نحمّل جميع البيانات في مصفاة.في NumPy، للمصفوفات خاصية لخريطة مجموعة البيانات الكاملة دون تحميلها بالكامل في الذاكرة.نستطيع
كتابة رمز بسيط لپيناريز المعطيات,يُعرف تحويل البيانات إلى قيم ثنائية على أساس حد معين على أنه tinarizing من البيانات.تُحدد القيم التي تقل عن العتبة إلى 0 وتلك التي تزيد عن العتبة إلى 1 والتي تكون مفيدة لهندس
ما هو الأراي؟,يعرڤ المصفوف على أنه عبارة عن مجموعة من الأشياء المتشابهة، يتم تخزينها بطريقة متلاحقة، فالآرايس مفهوم بديهي حيث أن الحاجة إلى تجميع الأجسام المتماثلة معاً تنشأ في حياتنا اليومية، وت
ما هي مزايا وعيوب استخدام الأراي؟,والآن ونحن نعرف ما هي المصفوفات، سنفهمها بالتفصيل بحل بعض أسئلة المقابلة.فلنرى قبل ذلك الوظائف التي تنص عليها پايثون كلغة للمصفوفات، والمعروفة أيضا باسم قوائم.
ما هي قوائم في پايثون؟,گلستان عبارة عن هيكل بيانات فعال يتم توفيره في الپايثون.هناك وظائف مختلفة مرتبطة بنفس الشيء.فلننظر في السيناريو حيث نريد نسخ قائمة إلى قائمة أخرى.إذا كان لا بد من القيام بنفس العملية بلغ
نظراً لمصفوفة من integers حيث يمثل كل عنصر العدد الأقصى من الخطوات التي يمكن التقدم بها من ذلك العنصر.المهمة هي إيگاد العدد الأدنى للقفزات للوصول إلى نهاية المصفوف (بدءاً,تشتهر هذه المشكلة باسم نهاية مشكلة المصفوفات.نريد تحديد الحد الأدنى لعدد القفزات المطلوبة من أجل الوصول إلى النهاية.يمثل العنصر في المصفوف العدد الأقصى للقفزات التي يمكن أن يأخذها ذلك العنصر.
نظراً لخيط S يتكون فقط من as and bs، طبع آخر مؤشر لـb الموجود فيه.,عندما نُعطَّى ويناً من ك و ب، يمكننا على الفور معرفة الموقع الأول لمحرف يحدث.. لذلك، لنجد آخر حدوث لمحرف ما، نعكس الخيط ونجد أول حدث، وهو ما يعادل
دوران عناصر مصفوفات بمواضع d إلى اليسار.,يوجد هنا نمط، أي أن العناصر d الأولى يتم تبادلها مع العناصر الأخيرة nd 1. ولذلك يمكننا مقايضة العناصر فقط.صحيح؟ ماذا لو كان حجم المصفوف ضخماً، فقل 10000 عنصر.هناك فرص ل
مشكلة تجارة المياه؟,نظرًا لمصفوفة arrr من N integers غير سالبة التي تمثل ارتفاع الكتل عند المؤشر الأول، حيث عرض كل كتلة هو 1.colpated more water cou
شرح إيگنڤكتورز و Eigenvalues.,تساعد التحولات الخطية على فهم استخدام المعالجات eigenvectors.يجدون استخدامها الأساسي في تخليق كوڤاريانس ومصفوفات الارتباط في علم البيانات.
102؟,يمكن تحديد عدد المجموعات عن طريق إيگاد درجة السيلوت.في كثير من الأحيان نهدف إلى الحصول على بعض الاكتشافات من البيانات باستخدام تقنيات التكتل حتى يكون لدينا صورة أوسع لعدد من الطبقات تمثلها البيانات.في هذه الحالة
ما هي قياسات الأداء التي يمكن استخدامها لتقدير كفاءة نموذج التراجع الخطي؟,متر الأداء الذي يستخدم في هذه الحالة هو
ما هي الطريقة الافتراضية للتقسيم في أشجار القرار؟,الطريقة الافتراضية للتقسيم في أشجار القرار هي مؤشر گيني.فهيسر گيني هو مقياس شائبة عقدة معينة.
كيف تكون القيمة مفيدة؟,فالقيمة تعطي احتمالية الفرضية الفراغية صحيحة، فهي تعطينا الأهمية الإحصائية لنتائجنا، وبعبارة أخرى فإن القيمة تحدد ثقة نموذج ما في ناتج معين.
هل يمكن استخدام التراجع اللوجستي للفصول أكثر من 2؟,لا ، لا يمكن استخدام التراجع اللوجستي للطبقات أكثر من 2 حيث أنه تصنيف ثنائي.. لخوارزميات التصنيف متعددة الطبقات مثل Dict Tries ، ناڤي پاييز classific
ما هي الپارامترات الفائقة لنموذج تراجع لوجستي؟,جزية التصنيف، حلالة التصنيف وتصنيف التصنيف C هي فرط الپارامترات القابلة للتدرب من پروتين Regresssion classifier.ويمكن تعيين هذه القيم حصرياً
تسمية بضعة فرط پارامترات لأشجار القرار؟,أهم السمات التي يمكن للشخص أن يلحنها في أشجار القرار هي
كيف تتعامل مع التعدد اللوني؟,الكولينارية المتعددة يمكن التعامل معها عن طريق الخطوات التالية
ما هو؟,وهو وضع يكون فيه فرق متغير غير متساوي عبر نطاق قيم متغير التنبؤ.
هل ARIMA موديل صالح لكل مشكلة في التسلسل الزمني؟,لا، نموذج ARIMA غير صالح لكل نوع من المشكلات التسلسلية الزمنية.هناك حالات حيث ARMA الطراز وآخرون أيضاً يأتي في غير صالحه.
كيف تتعامل مع اختلال الطبقات في مشكلة تصنيف؟,يمكن التعامل مع اختلال الطبقات بالطرق التالية
ما هو دور crossevalidation?,crossvalidation، هي تقنية تستخدم لزيادة أداء خوارزمية التعلم الآلي، حيث تُطعَم الآلة معطيات من نفس البيانات لبعض المرات.تُجرى عملية أخذ العينات بحيث يتم تكسير مجموعة
ما هو نموذج التصويت؟,نموذج التصويت هو نموذج encemble يجمع بين عدة مصنفات ولكن لينتج النتيجة النهائية، في حالة وجود نموذج قائم على التصنيف، يأخذ في الاعتبار، تصنيف نقطة بيانات معينة لكل النماذج ويقطف الخيار المولد الأكثر con
كيف تتعامل مع عدد قليل جداً من عينات البيانات؟ هل من الممكن صنع نموذج منه؟,إذا كان هناك القليل جداً من عينات البيانات، يمكننا الاستفادة من المغالاة في أخذ العينات لإنتاج نقاط بيانات جديدة.وبهذه الطريقة يمكن أن يكون لدينا نقاط بيانات جديدة.
ما هي الپارامترات الفائقة لـ SVM؟,قيمة گاما، قيمة ج ونوع الكرنل هي الپارامترات الفائقة لنموذج SVM.
ما هو پانداس پروفلنگ؟,فتوصيف پانداس هو خطوة للعثور على عدد فعال من البيانات القابلة للاستخدام.يعطينا إحصائيات قيم NUL والقيم القابلة للاستخدام وبالتالي يجعل الانتقاء المتغير واختيار البيانات للبناء نماذج في مرحلة ما قبل المعالجة فعالة للغاية
ما هو التأثير الذي يحدثه الارتباط على CPCE؟,أما إذا كانت البيانات مرتبطة ببعضها البعض فلا تعمل بشكل جيد.بسبب ارتباط المتغيرات ينخفض الفرق الفعال للمتغيرات.ومن هنا لا تعمل البيانات المرتبطة ببعضها البعض عند استخدامها لـ CPC بشكل جيد.
كيف يختلف سي بي سي عن LDA؟,سي بي سي غير مشرفة.LDA غير مشرفة.
ما هي قياسات المسافة التي يمكن استخدامها في KNN؟,يمكن استخدام عدادات المسافة التالية في KNN.
ما هي القياسات التي يمكن استخدامها لقياس الترابط بين البيانات المؤكدة؟,يمكن استخدام اختبار التربيع چي للقيام بذلك.يعطي مقياس الارتباط بين التنبؤات القطعية.
ما هي الخوارزمية التي يمكن استخدامها في الاستدلال على القيمة في كل من الفئات القطعية والمتواصلة من البيانات؟,KNN هي الخوارزمية الوحيدة التي يمكن استخدامها للاقتران بكل من المتغيرات القطعية والمتواصلة.
متى ينبغي تفضيل تراجع ردج على لاسو؟,ينبغي أن نستعمل تراجع ريدج عندما نرغب في استخدام جميع المتنبأات ولا نزيل أي منها كما يقلل من قيم المعامل لكنه لا يبطلها.
أي خوارزميات يمكن استخدامها لاختيار متغير هام؟,يمكن استخدام رسومات الغابة العشوائية وXgbost والمؤامرة ذات الأهمية المتغيرة للانتقاء المتغيرة.
ما هي تقنية enemble التي تستخدمها غابات راندوم؟,التشفير هي التقنية المستخدمة من قبل غابات راندوم Random Grees.الغابات الرندية هي مجموعة من الأشجار التي تعمل على بيانات عينة من مجموعة البيانات الأصلية مع كون التنبؤ النهائي متوسط مصوت عليه لكل الأشجار.
ما هي تقنية enemble المستخدمة بتدرج الأشجار؟,التقوية هي التقنية المستخدمة من قبل GBM.
إذا كان لدينا خطأ انحيازي عالي ماذا يعني؟ كيف نعالجه؟,وخطأ التحيز الشديد يعني أن ذلك النموذج الذي نستعمله يغفل كل الاتجاهات الهامة في النموذج والنموذج أقل منه تجهيزاً.
أي نوع من العينات أفضل لنموذج تصنيف و لماذا؟,إن أخذ العينات المثبتة أفضل في حالة حدوث مشكلات في التصنيف لأنها تأخذ في الاعتبار توازن الطبقات في مجموعات القطارات والاختبارات، ويُحتفظ بنسبة الصفوف ومن ثم يؤدي النموذج أداءً أفضل، وفي حالة أخذ العينات العشوائية من البيانات تن
ما هو المتري الجيد لقياس مستوى التعدد اللوني؟,ڤي‌إف VIF أو 1 Lability هو مقياس جيد لقياس التعدد اللوني في النماذج.ڤي‌إف هي النسبة المئوية لاختلاف التكهنات التي تبقى غير متأثرة بتوقعات أخرى
متى يمكن أن تكون قيمة قطعية تُعامَل كمتغير مستمر وما هو التأثير الذي يحدث لها عند القيام بذلك؟,يمكن التعامل مع متنبأ قطعي كعامل مستمر عندما تكون طبيعة نقاط البيانات التي يمثلها ordenal.إذا كان متغير المتنبأ لديه بيانات ordinal ثم يمكن التعامل معه على أنه مستمر ويزيد إدراجه في النموذج
ما هو دور الاحتمال الأقصى في التراجع اللوجستي.,تساعد معادلة الاحتمالية القصوى في تقدير معظم القيم المحتملة للمعاملات المتغيرة المتماثرة التي تنتج نتائج هي الأكثر احتمالاً أو الأكثر احتمالاً وقريبة تماماً من قيم الحقيقة.
ما هي المسافة التي نقيسها في حالة KNN؟,تقاس المسافة الهمگية في حالة KNN لتحديد أقرب گيران‌كمانز تستخدم المسافة الإقليدية.
ما هو خط أنابيب؟,خط الأنابيب طريقة متطورة لكتابة البرمجيات بحيث يمكن تسلسل كل عمل مقصود أثناء بناء نموذج وتسمي العملية الوظائف الفردية للمهمات المنفردة ويتم تنفيذ المهام المتسلسلة لتسلسل معين من نقاط البيانات ويمكن تشغيل العملية بأكملها على خيوط n باستخدام
ما هي تقنية أخذ العينات الأكثر ملاءمة عند العمل مع بيانات العصريات؟,ويمكننا استخدام عينة إيطالية مخصصة بحيث نضيف باستمرار عينات إلى مجموعة القطارات.. ينبغي لنا فقط أن نتذكر أنه ينبغي إضافة العينة المستخدمة للمصادقة إلى مجموعات القطارات التالية واستخدام عينة جديدة للمصادقة.
ما هي فوائد الچڤرون؟,يساعد الپروتين في التالين
ما هو التوزيع العادي؟,التوزيع الذي يمتلك الخصائص الدنيا يسمى التوزيع العادي.
ما هي قاعدة 68 في المائة في التوزيع العادي؟,التوزيع العادي عبارة عن منحنى على شكل الجرس، فمعظم نقاط المعطيات تدور حول الوسط، ومن هنا فإن ما يقرب من 68 في المائة من المعطيات تدور حول الوسط، وبما أنه لا يوجد خراب وجرس له.
ما هو اختبار چسكواري؟,تحدد الشسكوارية إذا ما كانت بيانات العينة تتطابق مع عدد السكان.
ما هو متغير عشوائي؟,A Randum Varible هي مجموعة من القيم المحتملة من تجربة عشوائية.مثال توسنگ عملة يمكن أن نحصل عليها رؤوس أو تايلس.نرمي نرد نحصل على 6 قيم
ما هي درجة الحرية؟,وهو عدد القيم المستقلة أو الكميات التي يمكن تخصيصها لتوزيع إحصائي.يستخدم في اختبار الفيزيولوجيا و اختبار الشيسكواري.
أي نوع من نظام التوصيات يستخدمه الأمازون,يستخدم أمازون خوارزمية ترشيح تعاونية توصية بعناصر مشابهة.وهو مستخدم لمستخدم رسم الخرائط المتماثلة المعتمدة على أشباه المستخدم والقابلية لشراء.
ما هي إيجابية زائفة؟,وهي نتيجة اختبار تشير خطأ إلى وجود حالة أو نسب معين.
ما هي سلبية الزائفة؟,نتيجة اختبار تشير خطأ إلى غياب حالة أو نسب معين.
